verse_id,pair,su_idx,tgt_idx,su_text,tgt_text,sim,len_ratio,punct_diff,ne_overlap,flag
1 Korintus:1:38,su-id,1,1,"Cindekna, lalaki anu kawin teh alus, tapi anu henteu kawin leuwih alus.","Jadi orang yang kawin dengan gadisnya berbuat baik, dan orang yang tidak kawin dengan gadisnya berbuat lebih baik.",0.7597,0.75,1,1.0,Medium
1 Korintus:1:39,su-id,1,1,Awewe anu kawin katalian ku salakina sapanjang salakina hirup keneh.,Isteri terikat selama suaminya hidup.,0.7586,0.545,0,1.0,Medium
1 Korintus:1:39,su-id,2,2,"Meunang engke kawin deui ka lalaki kasukana, lamun salakina geus maot, tapi kudu ka urang Kristen keneh.","Kalau suaminya telah meninggal, ia bebas untuk kawin dengan siapa saja yang dikehendakinya, asal orang itu adalah seorang yang percaya.",0.6399,0.87,0,1.0,Medium
1 Korintus:1:40,su-id,1,1,Tapi bakal leuwih bagja lamun manehna tetep lelengohan.,"Tetapi menurut pendapatku, ia lebih berbahagia, kalau ia tetap tinggal dalam keadaannya.",0.7613,0.6,2,1.0,Medium
1 Korintus:1:40,su-id,2,2,"Kitu pangrasa sim kuring, anu ceuk rarasaan mah meunang ngalelempeng Roh Allah.","Dan aku berpendapat, bahwa aku juga mempunyai Roh Allah.",0.7021,0.786,0,1.0,Medium
1 Korintus:1:41,su-id,1,1,Kaendahan panonpoe beda jeung kaendahan bulan.,"Kemuliaan matahari lain dari pada kemuliaan bulan, dan kemuliaan bulan lain dari pada kemuliaan bintang-bintang, dan kemuliaan bintang yang satu berbeda dengan kemuliaan bintang yang lain.",0.6077,0.226,2,1.0,Low
1 Korintus:1:42,su-id,1,1,Kitu oge halna badan jelema anu geus maraot lamun geus dihirupkeun deui.,Demikianlah pula halnya dengan kebangkitan orang mati.,0.6793,0.615,0,1.0,Medium
1 Korintus:1:44,su-id,2,2,"Jadi ku sabab aya badan anu sipatna jasmani, tangtu aya badan anu sipatna rohani.","Jika ada tubuh alamiah, maka ada pula tubuh rohaniah.",0.8357,0.688,0,1.0,Medium
1 Korintus:1:44,su-id,1,1,"Waktu dikuburna badan teh sipatna jasmani, alami, ari geus dihirupkeun deui mah sipatna rohani.","Yang ditaburkan adalah tubuh alamiah, yang dibangkitkan adalah tubuh rohaniah.",0.7222,0.706,1,1.0,Medium
1 Korintus:1:45,su-id,1,1,"Sabab dina Kitab Suci ditulis, ""Manusa anu kahiji, nya eta Adam, jadi mahluk hirup,"" tapi Adam anu ahir mah nya eta Roh anu ngahirupkeun.","Seperti ada tertulis: ""Manusia pertama, Adam menjadi makhluk yang hidup"", tetapi Adam yang akhir menjadi roh yang menghidupkan.",0.9005,0.774,3,1.0,Low
1 Korintus:1:46,su-id,1,1,"Anu datang ti heula teh anu sipatna jasmani, lain rohani.","Tetapi yang mula-mula datang bukanlah yang rohaniah, tetapi yang alamiah; kemudian barulah datang yang rohaniah.",0.7684,0.6,1,1.0,Medium
1 Korintus:1:47,su-id,1,1,"Adam kahiji dijadikeunana tina taneuh, asal ti ieu bumi.","Manusia pertama berasal dari debu tanah dan bersifat jasmani, manusia kedua berasal dari sorga.",0.6867,0.688,0,1.0,Medium
1 Korintus:1:48,su-id,2,1,Sakur anu asal ti sawarga sarua jeung Anjeunna anu asal ti sawarga.,Makhluk-makhluk alamiah sama dengan dia yang berasal dari debu tanah dan makhluk-makhluk sorgawi sama dengan Dia yang berasal dari sorga.,0.6433,0.52,0,1.0,Medium
1 Korintus:1:49,su-id,1,1,"Sakumaha urang ayeuna make badan anu kaayaanana kawas manusa anu dijadikeun tina taneuh, engke urang bakal make badan anu kaayaanana kawas Manusa anu asal ti sawarga.","Sama seperti kita telah memakai rupa dari yang alamiah, demikian pula kita akan memakai rupa dari yang sorgawi.",0.6536,0.714,0,1.0,Medium
1 Korintus:1:50,su-id,1,1,"Maksud sim kuring kieu dulur-dulur: Sipat daging jeung getih moal bisa dibawa ka Karajaan Allah, anu sipatna teu langgeng moal bisa dibawa ka anu sipatna langgeng.","Saudara-saudara, inilah yang hendak kukatakan kepadamu, yaitu bahwa daging dan darah tidak mendapat bagian dalam Kerajaan Allah dan bahwa yang binasa tidak mendapat bagian dalam apa yang tidak binasa.",0.8372,0.912,2,1.0,Medium
1 Korintus:1:51,su-id,1,1,"Sim kuring rek ngabejakeun ieu rasiah: Urang teh moal waka maot kabeh, tapi urang kabeh bakal dirobah.","Sesungguhnya aku menyatakan kepadamu suatu rahasia: kita tidak akan mati semuanya, tetapi kita semuanya akan diubah,",0.7855,0.95,1,1.0,Medium
1 Korintus:1:52,su-id,2,2,"Waktu eta sangkakala ditiup, anu geus maraot bakal dihirupkeun deui, moal keuna deui ku maot, sarta kabeh kaayaanana dirobah.",Sebab nafiri akan berbunyi dan orang-orang mati akan dibangkitkan dalam keadaan yang tidak dapat binasa dan kita semua akan diubah.,0.6037,1.0,3,1.0,Low
1 Korintus:1:53,su-id,1,1,"Anu sipatna teu langgeng diganti ku anu sipatna langgeng, anu tadina keuna ku maot dirobah ku anu sipatna teu keuna ku maot.","Karena yang dapat binasa ini harus mengenakan yang tidak dapat binasa, dan yang dapat mati ini harus mengenakan yang tidak dapat mati.",0.6253,1.0,0,1.0,Medium
1 Korintus:1:54,su-id,1,1,"Sanggeus hal eta kajadian, sanggeus anu sipatna teu langgeng dirobah jadi langgeng, bakal bukti anu ditulis dina Kitab Suci, ""Maot geus dibasmi.","Dan sesudah yang dapat binasa ini mengenakan yang tidak dapat binasa dan yang dapat mati ini mengenakan yang tidak dapat mati, maka akan genaplah firman Tuhan yang tertulis: ""Maut telah ditelan dalam kemenangan.",0.6303,0.73,3,1.0,Low
1 Korintus:1:55,su-id,1,2,"""He maot, mana kakawasaan maneh?","Hai maut, di manakah sengatmu?""",0.6852,1.0,0,1.0,Medium
1 Korintus:1:56,su-id,1,1,"Peurah maot asalna tina dosa, ari kakawasaan dosa asalna tina Hukum Agama.",Sengat maut ialah dosa dan kuasa dosa ialah hukum Taurat.,0.7985,0.786,1,1.0,Medium
1 Korintus:1:57,su-id,2,1,Mantenna geus maparin kaunggulan ka urang ku jalan Gusti urang Yesus Kristus.,"Tetapi syukur kepada Allah, yang telah memberikan kepada kita kemenangan oleh Yesus Kristus, Tuhan kita.",0.7211,0.722,2,1.0,Medium
1 Korintus:1:58,su-id,2,2,Sabab aranjeun nyaho yen sakur lampah aranjeun pikeun Gusti moal aya anu mubadir.,"Sebab kamu tahu, bahwa dalam persekutuan dengan Tuhan jerih payahmu tidak sia-sia.",0.779,0.875,1,1.0,Medium
1 Korintus:1:58,su-id,1,1,"Ku sabab kitu dulur-dulur kudu teger jeung pengkuh, kudu garetol, rajin ngalakonan kawajiban pikeun Gusti.","Karena itu, saudara-saudaraku yang kekasih, berdirilah teguh, jangan goyah, dan giatlah selalu dalam pekerjaan Tuhan!",0.6785,0.909,3,1.0,Low
1 Petrus:1:1,su-id,1,1,Petrus 1,Petrus 1,1.0,1.0,0,1.0,High
1 Petrus:1:2,su-id,2,1,"Geus jadi pangersa Allah Rama aranjeun ku Mantenna dipilih dijadikeun umat-Na anu geus disucikeun ku Roh Mantenna sangkan aranut ka Yesus Kristus, supaya bebas tina dosa ku jalan disucikeun ku getih Anjeunna.","yaitu orang-orang yang dipilih, sesuai dengan rencana Allah, Bapa kita, dan yang dikuduskan oleh Roh, supaya taat kepada Yesus Kristus dan menerima percikan darah-Nya.",0.6987,0.917,3,1.0,Low
1 Petrus:1:3,su-id,2,1,"Allah teh ku bawaning mikawelas geus midamel urang jadi manusa anu anyar dina hirup anu anyar, anu geus boga hiji pangharepan anu moal pareum-pareum, ku jalan Mantenna ngahirupkeun deui Yesus Kristus tina pupus-Na.","Terpujilah Allah dan Bapa Tuhan kita Yesus Kristus, yang karena rahmat-Nya yang besar telah melahirkan kita kembali oleh kebangkitan Yesus Kristus dari antara orang mati, kepada suatu hidup yang penuh pengharapan,",0.7755,0.9,1,1.0,Medium
1 Petrus:1:5,su-id,1,1,"Eta saniskara berkah teh pikeun aranjeun anu geus aya dina pangraksana kakawasaan Allah sangkan salamet, lantaran percaya ka Allah.","Yaitu kamu, yang dipelihara dalam kekuatan Allah karena imanmu sementara kamu menantikan keselamatan yang telah tersedia untuk dinyatakan pada zaman akhir.",0.6486,0.913,0,1.0,Medium
1 Petrus:1:6,su-id,1,1,"Aranjeun kudu bungah ku hal ieu, sanajan ayeuna keur susah jeung prihatin ku rupa-rupa cocoba.","Bergembiralah akan hal itu, sekalipun sekarang ini kamu seketika harus berdukacita oleh berbagai-bagai pencobaan.",0.7442,0.947,0,1.0,Medium
1 Petrus:1:8,su-id,1,2,"Aranjeun nyaraah ka Yesus Kristus, padahal can nenjo-nenjo acan, aranjeun percaya ka Anjeunna sanajan ayeuna Anjeunna geus teu katenjo.","Kamu percaya kepada Dia, sekalipun kamu sekarang tidak melihat-Nya.",0.7386,0.542,1,0.0,Low
1 Petrus:1:9,su-id,1,1,"lantaran buahna eta kapercayaan aranjeun teh jadi kanyataan, nya eta kasalametan nyawa aranjeun.","karena kamu telah mencapai tujuan imanmu, yaitu keselamatan jiwamu.",0.696,0.733,0,1.0,Medium
1 Petrus:1:11,su-id,1,1,"Anu ditalungtik teh kumaha jeung jaman mana pijadieunana eta hal anu ti samemehna keneh geus ditujul ku Roh Kristus ku anjeun anu aya di jero diri aranjeunna, anu ngandikakeun hal kasangsaraan anu baris disorang ku Kristus, kitu deui hal kamulyaan Anjeunna sabada sangsara.","Dan mereka meneliti saat yang mana dan yang bagaimana yang dimaksudkan oleh Roh Kristus, yang ada di dalam mereka, yaitu Roh yang sebelumnya memberi kesaksian tentang segala penderitaan yang akan menimpa Kristus dan tentang segala kemuliaan yang menyusul sesudah itu.",0.8224,0.935,0,1.0,High
1 Petrus:1:16,su-id,1,1,"sakumaha ceuk Kitab Suci, ""Maraneh kudu suci, sabab Kami teh suci.""","sebab ada tertulis: Kuduslah kamu, sebab Aku kudus.",0.7657,0.688,2,1.0,Medium
1 Petrus:1:19,su-id,1,1,"tapi ku anu kacida mulyana, ku anu diibaratkeun ""domba anu taya cacad kuciwana"", nya eta Kristus anu dikurbankeun ka Allah.","melainkan dengan darah yang mahal, yaitu darah Kristus yang sama seperti darah anak domba yang tak bernoda dan tak bercacat.",0.6957,0.88,1,1.0,Medium
1 Petrus:1:20,su-id,1,1,"Kristus ku Allah geus dipilih ti samemeh dunya diadegkeun, sarta ayeuna dina mangsa-mangsa geus rek ahir jaman, Anjeunna sumping ka dunya baris nyalametkeun aranjeun.","Ia telah dipilih sebelum dunia dijadikan, tetapi karena kamu baru menyatakan diri-Nya pada zaman akhir.",0.6784,0.655,1,1.0,Medium
1 Petrus:1:21,su-id,1,1,"Kristus teh geus jadi jalan sangkan dulur-dulur percaya ka Allah, anu nanghikeun Anjeunna ti nu maraot sarta anu maparin kamulyaan.","Oleh Dialah kamu percaya kepada Allah, yang telah membangkitkan Dia dari antara orang mati dan yang telah memuliakan-Nya, sehingga imanmu dan pengharapanmu tertuju kepada Allah.",0.601,0.8,1,1.0,Medium
1 Petrus:1:23,su-id,1,1,"Sabab ku karana sabda Allah anu sipatna hirup tur langgeng, aranjeun geus jadi jalma anyar, lir anu dijurukeun deui, lain ku manusa anu sipatna keuna ku paeh, tapi ku rama nu sipat langgeng.","Karena kamu telah dilahirkan kembali bukan dari benih yang fana, tetapi dari benih yang tidak fana, oleh firman Allah, yang hidup dan yang kekal.",0.746,0.737,1,1.0,Medium
1 Petrus:1:25,su-id,1,1,"tapi sabda Pangeran mah tetep salalanggengna."" Tah eta sabda teh nya eta Injil Kasalametan, anu geus diwawarkeun ka aranjeun tea.","tetapi firman Tuhan tetap untuk selama-lamanya."" Inilah firman yang disampaikan Injil kepada kamu.",0.7996,0.75,1,1.0,Medium
1 Raja-Raja:1:1,su-id,1,1,Raja-raja 1,Raja-raja 1,1.0,1.0,0,1.0,High
1 Raja-Raja:1:4,su-id,1,1,"Nyi mojang teh teuing ku geulis, tuluy dideuheuskeun ka raja, dibakukeun ngamemenan jeung maturan ebog wungkul, ku raja teu ditemahan.","Gadis itu amat cantik, dan ia menjadi perawat raja dan melayani dia, tetapi raja tidak bersetubuh dengan dia.",0.6739,0.875,1,1.0,Medium
1 Raja-Raja:1:5,su-id,4,1,"Adonia hayangeun jadi raja, tuluy nyadiakeun kareta jeung kudana katut pangawal pribadi lima puluh urang.","Lalu Adonia, anak Hagit, meninggikan diri dengan berkata: ""Aku ini mau menjadi raja."" Ia melengkapi dirinya dengan kereta-kereta dan orang-orang berkuda serta lima puluh orang yang berlari di depannya.",0.6977,0.425,2,1.0,Low
1 Raja-Raja:1:7,su-id,1,1,Ti dinya ngajak pasini ka Yoab putra ibu Seruya jeung ka Imam Abyatar.,"Maka berundinglah ia dengan Yoab, anak Zeruya dan dengan imam Abyatar dan mereka menjadi pengikut dan pembantu Adonia.",0.7469,0.7,1,1.0,Medium
1 Raja-Raja:1:8,su-id,1,1,"Imam Sadok, Benaya bin Yoyada, Nabi Natan, Simei, Rei, jeung kapetengan raja henteu pipilueun.",Tetapi imam Zadok dan Benaya bin Yoyada dan nabi Natan dan Simei dan Rei dan para pahlawan Daud tidak memihak kepada Adonia.,0.8073,0.87,5,0.0,Low
1 Raja-Raja:1:9,su-id,1,1,"Dina hiji poe Adonia ngayakeun kurban domba, sapi jalu jeung anak sapi anu lalintuh di hiji tempat anu ngaranna Cadas Oray deukeut cinyusu En Rogel, ngondangan rayi-rayina putra-putra raja anu pameget jeung para mantri raja urang Yuda.","Sesudah itu Adonia mempersembahkan domba, lembu dan ternak gemukan sebagai korban dekat batu Zohelet yang ada di samping En-Rogel, lalu mengundang semua saudaranya, anak-anak raja, dan semua orang Yehuda, pegawai-pegawai raja;",0.7975,0.977,4,1.0,Low
1 Raja-Raja:1:10,su-id,1,1,"Ari Suleman raina, Nabi Natan, Benaya, jeung pangawal pribadi raja mah henteu diondang.","tetapi nabi Natan dan Benaya dan para pahlawan dan Salomo, adiknya, tidak diundangnya.",0.6955,0.941,1,1.0,Medium
1 Raja-Raja:1:13,su-id,2,2,"Geuning ayeuna Adonia anu jadi raja?'""",Mengapakah sekarang Adonia menjadi raja?,0.8727,0.667,0,1.0,Medium
1 Raja-Raja:1:15,su-id,2,2,"Raja teh geus sepuh pisan, keur dimemenan ku nyi Abisag urang Sunem.","Waktu itu raja sudah sangat tua dan Abisag, gadis Sunem itu, melayani raja.",0.7075,0.875,1,1.0,Medium
1 Raja-Raja:1:16,su-id,2,2,"Ku raja dipariksa, ""Aya naon, Nyai?""","Raja bertanya: ""Ada yang kauingini?""",0.8063,0.818,3,1.0,Low
1 Raja-Raja:1:18,su-id,1,1,Ayeuna anu jadi raja teh Adonia.,"Tetapi sekarang, lihatlah, Adonia telah menjadi raja, sedang tuanku raja sendiri tidak mengetahuinya.",0.6844,0.412,3,1.0,Low
1 Raja-Raja:1:19,su-id,1,1,"Anjeunna parantos ngadamel kurban pirang-pirang sapi, domba sareng anak sapi anu lalintuh, ngondangan putra-putra anu pameget, Imam Abyatar, sareng Panglima Yoab.","Ia telah menyembelih banyak lembu, ternak gemukan dan domba, dan telah mengundang semua anak raja dan imam Abyatar dan Yoab, panglima itu, tetapi hambamu Salomo tidak diundangnya.",0.8339,0.938,0,1.0,High
1 Raja-Raja:1:21,su-id,1,1,"Upami henteu enggal-enggal diumumkeun ayeuna, engke saparantos Gusti ngantunkeun, abdi sareng pun anak Suleman bakal disebat hianat.""","Nanti aku ini dan anakku Salomo dituduh bersalah segera sesudah tuanku raja mendapat perhentian bersama-sama dengan nenek moyangnya.""",0.6089,0.957,2,1.0,Medium
1 Raja-Raja:1:22,su-id,1,1,"Sabot Batseba unjukan, Natan sumping ka karaton.","Selagi Batsyeba berbicara dengan raja, datanglah nabi Natan.",0.6509,0.9,0,1.0,Medium
1 Raja-Raja:1:23,su-id,1,1,"Sanggeus diuningakeun ka raja, Nabi Natan lebet, dat nyembah.","Diberitahukan kepada raja: ""Itu ada nabi Natan."" Masuklah ia menghadap raja, lalu sujud menyembah kepada raja dengan mukanya sampai ke tanah.",0.6451,0.444,2,1.0,Low
1 Raja-Raja:1:24,su-id,1,1,"Ti dinya pok mihatur, ""Nun Gusti Sang Raja, dupi Adonia jadi raja gegentos Gusti teh, Gusti anu ngersakeun?","Natan berkata: ""Ya tuanku raja, tuanku sendirilah rupa-rupanya yang telah berkata: Adonia akan menjadi raja sesudah aku dan ia akan duduk di atas takhtaku!",0.6545,0.742,6,1.0,Low
1 Raja-Raja:1:25,su-id,1,1,"Dinten ieu Adonia parantos meuncit pirang-pirang sapi, domba sareng anak sapi kabiri, ngondangan putra-putra raja anu pameget, Panglima Yoab, sareng Imam Abyatar.","Sebab pada hari ini ia telah menyembelih banyak lembu, ternak gemukan dan domba; ia mengundang semua anak raja, para panglima dan imam Abyatar, dan sesungguhnya mereka sedang makan minum di depannya sambil berseru: Hidup raja Adonia!",0.813,0.738,4,1.0,Low
1 Raja-Raja:1:26,su-id,1,1,"Abdi mah kitu deui Imam Sadok, Benaya, sareng Suleman, henteu dibantun-bantun.","Tetapi hambamu ini, dan imam Zadok dan Benaya bin Yoyada dan hambamu Salomo tidak diundangnya.",0.6392,1.0,2,1.0,Medium
1 Raja-Raja:1:28,su-id,1,1,"Raja ngadawuh, ""Batseba sina lebet deui."" Batseba lebet deui, ngadeg di payuneun raja deui.","Lalu raja Daud menjawab, katanya: ""Panggillah Batsyeba."" Perempuan itu masuk menghadap raja dan berdiri di depannya.",0.7024,0.909,2,0.0,Low
1 Raja-Raja:1:29,su-id,1,1,"Ti dinya raja ngalahir ka anjeunna, ""Kami jangji ka Nyai, demi jumenenging PANGERAN anu geus ngajait kami tina sagala bancang pakewuh,","Lalu raja bersumpah dan berkata: ""Demi TUHAN yang hidup, yang telah membebaskan nyawaku dari segala kesesakan,",0.6825,0.8,2,1.0,Medium
1 Raja-Raja:1:30,su-id,1,1,"yen poe ieu kami seja ngabuktikeun jangji kapungkur ka Nyai kalayan nyebut pajenengan PANGERAN Allahna Israil, yen Suleman anak Nyai, jadi raja gaganti kami!""","pada hari ini aku akan melaksanakan apa yang kujanjikan kepadamu demi TUHAN, Allah Israel, dengan sumpah ini: Anakmu Salomo akan menjadi raja sesudah aku, dan dialah yang akan duduk di atas takhtaku menggantikan aku.""",0.6871,0.7,3,1.0,Low
1 Raja-Raja:1:32,su-id,1,1,"Geus kitu raja nimbalan ngangkir Imam Sadok, Nabi Natan, jeung Benaya.","Lagi kata raja Daud: ""Panggillah imam Zadok, nabi Natan dan Benaya bin Yoyada."" Mereka masuk menghadap raja,",0.7203,0.609,1,0.0,Low
