verse_id,pair,su_idx,tgt_idx,su_text,tgt_text,sim,len_ratio,punct_diff,ne_overlap,flag
1 Petrus:1:19,su-en,1,1,"tapi ku anu kacida mulyana, ku anu diibaratkeun ""domba anu taya cacad kuciwana"", nya eta Kristus anu dikurbankeun ka Allah.","but by precious blood like that of an unblemished and spotless lamb, namely Christ.",0.6699,0.64,1,1.0,Medium
1 Petrus:1:23,su-en,1,1,"Sabab ku karana sabda Allah anu sipatna hirup tur langgeng, aranjeun geus jadi jalma anyar, lir anu dijurukeun deui, lain ku manusa anu sipatna keuna ku paeh, tapi ku rama nu sipat langgeng.","You have been born anew, not from perishable but from imperishable seed, through the living and enduring word of God.",0.6364,0.605,2,1.0,Medium
1 Petrus:1:25,su-en,1,1,"tapi sabda Pangeran mah tetep salalanggengna."" Tah eta sabda teh nya eta Injil Kasalametan, anu geus diwawarkeun ka aranjeun tea.",but the word of the Lordendures forever.And this is the word that was proclaimed to you.,0.6907,0.792,1,1.0,Medium
1 Raja-Raja:1:1,su-en,1,1,Raja-raja 1,Raja-raja 1,1.0,1.0,0,1.0,High
1 Raja-Raja:1:4,su-en,1,1,"Nyi mojang teh teuing ku geulis, tuluy dideuheuskeun ka raja, dibakukeun ngamemenan jeung maturan ebog wungkul, ku raja teu ditemahan.","The young woman was very beautiful; she became the king's nurse and served him, but the king did not have sexual relations with her.",0.6717,0.889,3,1.0,Low
1 Raja-Raja:1:7,su-en,1,1,Ti dinya ngajak pasini ka Yoab putra ibu Seruya jeung ka Imam Abyatar.,"He collaborated with Joab son of Zeruiah and with Abiathar the priest, and they supported him.",0.6837,0.778,1,1.0,Medium
1 Raja-Raja:1:8,su-en,1,1,"Imam Sadok, Benaya bin Yoyada, Nabi Natan, Simei, Rei, jeung kapetengan raja henteu pipilueun.","But Zadok the priest, Benaiah son of Jehoiada, Nathan the prophet, Shimei, Rei, and David's elite warriors did not ally themselves with Adonijah.",0.7717,0.69,0,1.0,Medium
1 Raja-Raja:1:9,su-en,1,1,"Dina hiji poe Adonia ngayakeun kurban domba, sapi jalu jeung anak sapi anu lalintuh di hiji tempat anu ngaranna Cadas Oray deukeut cinyusu En Rogel, ngondangan rayi-rayina putra-putra raja anu pameget jeung para mantri raja urang Yuda.","Adonijah sacrificed sheep, cattle, and fattened steers at the Stone of Zoheleth near En Rogel.",0.6519,0.409,0,1.0,Low
1 Raja-Raja:1:10,su-en,1,1,"Ari Suleman raina, Nabi Natan, Benaya, jeung pangawal pribadi raja mah henteu diondang.","But he did not invite Nathan the prophet, Benaiah, the elite warriors, or his brother Solomon.",0.6435,0.85,0,1.0,Medium
1 Raja-Raja:1:13,su-en,2,2,"Geuning ayeuna Adonia anu jadi raja?'""",So why has Adonijah become king?',0.8757,0.889,0,1.0,High
1 Raja-Raja:1:13,su-en,1,1,"Enggal deuheusan Sang Raja, saurkeun, 'Gusti teh sanes parantos ikrar yen pun anak Suleman bade dijenengkeun raja, gegentos Gusti?","Visit King David and say to him, 'My master, O king, did you not solemnly promise your servant, ""Surely your son Solomon will be king after me; he will sit on my throne""?",0.636,0.561,2,0.0,Low
1 Raja-Raja:1:15,su-en,2,2,"Raja teh geus sepuh pisan, keur dimemenan ku nyi Abisag urang Sunem.","(The king was very old, and Abishag the Shunammite was serving the king.)",0.6586,0.824,0,1.0,Medium
1 Raja-Raja:1:16,su-en,2,2,"Ku raja dipariksa, ""Aya naon, Nyai?""","The king said, ""What do you want?""",0.742,1.0,1,1.0,Medium
1 Raja-Raja:1:18,su-en,1,1,Ayeuna anu jadi raja teh Adonia.,"But now, look, Adonijah has become king!",0.7506,0.7,3,1.0,Low
1 Raja-Raja:1:19,su-en,1,1,"Anjeunna parantos ngadamel kurban pirang-pirang sapi, domba sareng anak sapi anu lalintuh, ngondangan putra-putra anu pameget, Imam Abyatar, sareng Panglima Yoab.","He has sacrificed many cattle, steers, and sheep and has invited all the king's sons, Abiathar the priest, and Joab, the commander of the army, but he has not invited your servant Solomon.",0.7635,0.75,2,1.0,Medium
1 Raja-Raja:1:20,su-en,1,1,"Gusti panutan, bangsa Israil nuju ngajeng-ngajeng timbalan, harayang terangeun saha anu bakal jadi raja gegentos Gusti.","Now, my master, O king, all Israel is watching anxiously to see who is named to succeed my master the king on the throne.",0.668,0.75,1,1.0,Medium
1 Raja-Raja:1:21,su-en,1,1,"Upami henteu enggal-enggal diumumkeun ayeuna, engke saparantos Gusti ngantunkeun, abdi sareng pun anak Suleman bakal disebat hianat.""","If a decision is not made, when my master the king is buried with his ancestors, my son Solomon and I will be considered state criminals.""",0.7081,0.767,0,1.0,Medium
1 Raja-Raja:1:24,su-en,1,1,"Ti dinya pok mihatur, ""Nun Gusti Sang Raja, dupi Adonia jadi raja gegentos Gusti teh, Gusti anu ngersakeun?","Nathan said, ""My master, O king, did you announce, 'Adonijah will be king after me; he will sit on my throne'?",0.6584,0.821,2,1.0,Medium
1 Raja-Raja:1:25,su-en,1,1,"Dinten ieu Adonia parantos meuncit pirang-pirang sapi, domba sareng anak sapi kabiri, ngondangan putra-putra raja anu pameget, Panglima Yoab, sareng Imam Abyatar.","For today he has gone down and sacrificed many cattle, steers, and sheep and has invited all the king's sons, the army commanders, and Abiathar the priest.",0.7576,0.969,0,1.0,Medium
1 Raja-Raja:1:25,su-en,2,2,"Ayeuna aranjeunna nuju pesta ngawilujengkeun Adonia, 'Wilujeng Raja Adonia!'","At this moment they are having a feast in his presence, and they have declared, 'Long live King Adonijah!'",0.7376,0.522,1,1.0,Medium
1 Raja-Raja:1:27,su-en,1,1,"Naha eta teh parantos pangersa Gusti, kalayan teu diwartoskeun heula ka para gegeden, saha raja gegentos Gusti teh?""","Has my master the king authorized this without informing your servants who should succeed my master the king on his throne?""",0.6148,0.957,2,1.0,Medium
1 Raja-Raja:1:28,su-en,1,1,"Raja ngadawuh, ""Batseba sina lebet deui."" Batseba lebet deui, ngadeg di payuneun raja deui.","King David responded, ""Summon Bathsheba!"" She came and stood before the king.",0.7016,0.85,2,0.0,Low
1 Raja-Raja:1:30,su-en,1,1,"yen poe ieu kami seja ngabuktikeun jangji kapungkur ka Nyai kalayan nyebut pajenengan PANGERAN Allahna Israil, yen Suleman anak Nyai, jadi raja gaganti kami!""","I will keep today the oath I swore to you by theLordGod of Israel: 'Surely Solomon your son will be king after me; he will sit in my place on my throne.'""",0.6233,0.757,5,1.0,Low
1 Raja-Raja:1:32,su-en,1,1,"Geus kitu raja nimbalan ngangkir Imam Sadok, Nabi Natan, jeung Benaya.","King David said, ""Summon Zadok the priest, Nathan the prophet, and Benaiah son of Jehoiada."" They came before the king,",0.6779,0.519,2,0.0,Low
1 Raja-Raja:1:33,su-en,1,1,"raja nimbalan, ""Putra kami Suleman tumpakkeun kana bigal titihan kami, anteurkeun ku maraneh jeung para gegeden karaton kami ka Cinyusu Gihon.","and he told them, ""Take your master's servants with you, put my son Solomon on my mule, and lead him down to Gihon.",0.6759,0.893,1,1.0,Medium
1 Raja-Raja:1:34,su-en,1,1,"Lisahan di ditu ku Sadok jeung Nabi Natan, angkat raja nyangking Israil.","There Zadok the priest and Nathan the prophet will anoint him king over Israel; then blow the trumpet and declare, 'Long live King Solomon!'",0.659,0.5,2,1.0,Medium
1 Raja-Raja:1:35,su-en,3,2,"Suleman anu ku kami geus ditangtukeun bakal jadi raja nyangking Israil jeung Yuda.""","He will be king in my place; I have decreed that he will be ruler over Israel and Judah.""",0.7105,0.682,1,1.0,Medium
1 Raja-Raja:1:38,su-en,1,1,"Suleman dititihkeun kana bigal titihan Raja Daud, terus diiring ku Sadok, Natan, Benaya, jeung para pangawal pribadi raja, dianteurkeun ka Cinyusu Gihon.","So Zadok the priest, Nathan the prophet, Benaiah son of Jehoiada, the Kerethites, and the Pelethites went down, put Solomon on King David's mule, and led him to Gihon.",0.7122,0.778,1,0.0,Low
1 Raja-Raja:1:42,su-en,1,1,"Tacan tutup sasauranana, dumadakan jol Yonatan bin Abyatar norojol.","As he was still speaking, Jonathan son of Abiathar the priest arrived.",0.6645,0.786,0,1.0,Medium
1 Raja-Raja:1:43,su-en,1,1,"Tembal Yonatan, ""Nu mawi sanes!","Jonathan replied to Adonijah: ""No!",0.7871,1.0,2,1.0,Medium
1 Raja-Raja:1:43,su-en,2,2,Leresna mah Raja Daud parantos ngangkat Suleman jadi raja.,Our master King David has made Solomon king.,0.7363,0.9,0,1.0,Medium
1 Raja-Raja:1:44,su-en,1,1,"Raja nimbalan ka Sadok, Natan, Benaya, sareng kapetengan raja supados ngaping Suleman.","The king sent with him Zadok the priest, Nathan the prophet, Benaiah son of Jehoiada, the Kerethites, and the Pelethites and they put him on the king's mule.",0.6465,0.485,1,1.0,Low
1 Raja-Raja:1:45,su-en,1,1,"Ayeuna Suleman parantos dilisahan di Cinyusu Gihon ku Sadok sareng Natan, parantos jadi raja.",Then Zadok the priest and Nathan the prophet anointed him king in Gihon.,0.6054,0.875,1,1.0,Medium
1 Raja-Raja:1:47,su-en,1,1,"Sadaya gegeden karaton nawiskeun sumujudna ka Raja Daud, salaurna, 'Mugia Allah Jeng Gusti ngersakeun Suleman langkung kamashur batan Jeng Gusti.","The king's servants have even come to congratulate our master King David, saying, 'May your God make Solomon more famous than you and make him an even greater king than you!' Then the king leaned on the bed",0.6654,0.548,1,1.0,Medium
1 Raja-Raja:1:49,su-en,1,1,"Tamu-tamu Adonia pohara ngagarebegna, tuluy budal baralik.",All of Adonijah's guests panicked; they jumped up and rushed off their separate ways.,0.6244,0.688,2,1.0,Medium
1 Raja-Raja:1:50,su-en,1,1,"Ari Adonia anu kacida sieuneunana ku Suleman gura-giru muru ka Kemah Tepangan PANGERAN, tuluy nangkeup kana tatandukan altar.","Adonijah feared Solomon, so he got up and went and grabbed hold of the horns of the altar.",0.6682,0.909,0,1.0,Medium
1 Raja-Raja:1:52,su-en,1,1,"Raja Suleman ngawaler, ""Lamun enya rek satia, buukna salambar moal diganggu.","Solomon said, ""If he is a loyal subject, not a hair of his head will be harmed, but if he is found to be a traitor, he will die.""",0.6141,0.417,2,1.0,Low
1 Raja-Raja:1:56,su-en,2,2,"Jangji-jangji Mantenna anu pinuh ku sih kurnia, anu diandikakeun ka Musa, geus tinekanan.",Not one of all the faithful promises he made through his servant Moses is left unfulfilled!,0.6674,0.944,3,1.0,Low
1 Raja-Raja:1:56,su-en,1,1,"""Sembah puji ka PANGERAN, anu geus ngareureuhkeun umat-Na sakumaha jangji-Na.","""TheLordis worthy of praise because he has made Israel his people secure just as he promised!",0.6668,0.944,2,1.0,Medium
1 Raja-Raja:1:57,su-en,1,1,"Mugia PANGERAN Allah urang nyarengan sakumaha geus nyarengan ka karuhun urang, henteu ngantunkeun.","May theLordour God be with us, as he was with our ancestors.",0.7524,0.933,0,1.0,Medium
1 Raja-Raja:1:58,su-en,1,1,"Mugia urang ku Mantenna dijadikeun jalma-jalma anu satia ka Mantenna, sarta tunduk kana hukum-hukum jeung parentah-parentah-Na, anu bareto diandikakeun ka karuhun urang tea.","May he make us submissive, so we can follow all his instructions and obey the commandments, rules, and regulations he commanded our ancestors.",0.7699,0.794,1,1.0,Medium
1 Raja-Raja:1:59,su-en,2,1,"Mugia Mantenna salawasna mikawelas ka urang Israil jeung ka rajana, tur nyekapan pangabutuhna sapopoe,","May theLordour God be constantly aware of these requests of mine I have presented to him, so that he might vindicate his servant and his people Israel as the need arises.",0.705,0.485,1,1.0,Low
1 Raja-Raja:1:60,su-en,1,1,supaya bangsa-bangsa saalam dunya nyarahoeun yen teu aya deui Allah ngan PANGERAN.,Then all the nations of the earth will recognize that theLordis the only genuine God.,0.665,0.938,0,1.0,Medium
1 Raja-Raja:1:61,su-en,1,1,"Mugia maraneh, umat Mantenna, tuhu tumutur ka PANGERAN Allah urang, nekanan hukum-hukum jeung parentah-parentah-Na salalawasna, kawas poe ieu.""","May you demonstrate wholehearted devotion to theLordour God by following his rules and obeying his commandments, as you are presently doing.""",0.72,0.8,3,1.0,Low
1 Raja-Raja:1:63,su-en,1,1,"Reana sato anu dikurbankeun, sapi dua puluh dua rebu, domba saratus dua puluh rebu, dijieun kurban panarima ngaresmikeun eta Bait Allah.","Solomon offered as peace offerings to theLord22,000 cattle and 120,000 sheep.",0.6456,0.64,1,1.0,Medium
1 Raja-Raja:1:65,su-en,1,1,"Rengse ngurban, Suleman jeung sakumna bangsa Israil nekanan Pesta Saung Daun di dinya, di Bait Allah, lilana tujuh poe.",At that time Solomon and all Israel with him celebrated a festival before theLordour God for two entire weeks.,0.7502,0.87,3,1.0,Low
1 Raja-Raja:1:65,su-en,2,2,"Jelema anu karumpul kacida lobana ti suklakna ti siklukna, ti kaler ti Hamat, ti kidul ti wates tanah Mesir, tumplek ka dinya.","This great assembly included people from all over the land, from Lebo Hamath in the north to the Brook of Egypt in the south.",0.6578,1.0,2,1.0,Medium
1 Raja-Raja:1:66,su-en,2,2,"Anjeunna pada muji ku sarerea, anu ngarasa bagja ku sagala berkah PANGERAN ka Daud abdi-Na jeung ka urang Israil, umat-Na.","They asked God to empower the king and then went to their homes, happy and content because of all the good theLordhad done for his servant David and his people Israel.",0.7495,0.818,1,1.0,Medium
1 Samuel:1:1,su-en,1,1,Samuel 1,Samuel 1,1.0,1.0,0,1.0,High
1 Samuel:1:2,su-en,2,2,"Penina boga anak, Hana henteu hiji-hiji acan.","Now Peninnah had children, but Hannah was childless.",0.7105,0.909,0,1.0,Medium
1 Samuel:1:2,su-en,1,1,"Boga bojo dua, Hana jeung Penina.",He had two wives; the name of the first was Hannah and the name of the second was Peninnah.,0.7069,0.381,2,1.0,Low
1 Samuel:1:3,su-en,2,2,"Harita anu jadi imam PANGERAN teh duaan, putra Eli, jenenganana Hopni jeung Pinehas.","It was there that the two sons of Eli, Hophni and Phineas, served as theLord's priests.",0.8037,0.842,0,1.0,High
1 Samuel:1:3,su-en,1,1,Saban-saban taun Elkana sok indit ngabakti jeung ngurban ka PANGERAN Nu Maha Kawasa di Silo.,Year after year this man would go up from his city to worship and to sacrifice to theLordof hosts at Shiloh.,0.6411,0.818,0,1.0,Medium
1 Samuel:1:8,su-en,4,3,"Lain Akang teh leuwih nyaah ka Nyai ti batan ka barudak sapuluh?""","Am I not better to you than ten sons?""",0.8079,0.786,0,1.0,High
1 Samuel:1:8,su-en,1,1,"Ku Elkana dibeberah, ""Nyai, ku naon ceurik?","Finally her husband Elkanah said to her, ""Hannah, why do you weep and not eat?",0.6048,0.579,0,1.0,Medium
1 Samuel:1:17,su-en,1,1,"Waler Eli, ""Euh, sing gede hate atuh, mugia paneda Nyai diijabah ku Allah Israil.""","Eli replied, ""Go in peace, and may the God of Israel grant the request that you have asked of him.""",0.6672,0.8,1,1.0,Medium
1 Samuel:1:19,su-en,2,2,"Hana ku Elkana ditemahan, sarta PANGERAN ngabulkeun panuhunna.","Elkanah had marital relations with his wife Hannah, and theLordremembered her.",0.6277,0.769,0,1.0,Medium
1 Samuel:1:20,su-en,1,2,"Hana ngandeg, tuluy ngalahirkeun hiji anak lalaki, seug dingaranan Samuel, da carekna, ""Beunang nyuhunkeun ti PANGERAN.""","She named him Samuel, thinking, ""I asked theLordfor him.",0.6507,0.565,2,1.0,Medium
1 Samuel:1:23,su-en,2,3,"Mugia PANGERAN ngalaksanakeun pangandika-Na ka Nyai."" Hana tetep di lembur bari ngasuh orok.","May theLordfulfill his promise.""So the woman stayed and nursed her son until she had weaned him.",0.6275,0.9,0,1.0,Medium
1 Samuel:1:25,su-en,1,1,"Sanggeus sapina dipeuncit, eta murangkalih teh dibawa ka Eli.","Once the bull had been slaughtered, they brought the boy to Eli.",0.8235,0.786,0,1.0,High
1 Samuel:1:28,su-en,1,2,"Ayeuna seja dibaktikeun ka PANGERAN, saumur hirupna sina ngawula ka Mantenna."" Geus kitu aranjeunna sembahyang di dinya ka PANGERAN.","From this time on he is dedicated to theLord."" Then they worshiped theLordthere.",0.6676,0.696,1,1.0,Medium
1 Samuel:1:29,su-en,1,1,Ku naon maneh jadi hawek kana pangbakti jeung kana kurban-kurban anu ku Kami dipundut ti umat?,Why are you scorning my sacrifice and my offering that I commanded for my dwelling place?,0.653,0.895,0,1.0,Medium
1 Samuel:1:37,su-en,1,1,"Ti dinya Saul unjukan ka Allah, ""Upami abdi narajang ka urang Pelisti, kumaha tiasa kenging?"" Tapi harita Allah henteu ngawaler.","So Saul asked God, ""Should I go down after the Philistines?",0.6821,0.538,1,1.0,Medium
1 Samuel:1:38,su-en,1,1,"Seug Saul nimbalan ka para pamingpin rahayat, ""Ka darieu kabeh, jeung pariksa dosa naon anu geus dijieun poe ieu.","Then Saul said, ""All you leaders of the army come here.",0.6023,0.609,1,1.0,Medium
1 Samuel:1:39,su-en,1,1,"Kami sumpah demi jumenenging PANGERAN anu geus maparin kaunggulan ka Israil, sing saha anu salah, najan anak kami pisan, Yonatan, tan wande dipaehan!"" Tapi teu aya anu unjukan saurang-urang acan.","For as surely as theLord, the deliverer of Israel, lives, even if it turns out to be my own son Jonathan, he will certainly die!"" But no one from the army said anything.",0.6219,0.975,0,1.0,Medium
1 Samuel:1:40,su-en,1,1,"Saul nimbalan deui, ""Maraneh caricing beulah ditu, Yonatan jeung kami beulah dieu."" ""Sumangga ngiringan,"" jawab jalma-jalma.","Then he said to all Israel, ""You will be on one side, and I and my son Jonathan will be on the other side."" The army replied to Saul, ""Do whatever you think is best.""",0.6606,0.614,0,1.0,Medium
