verse_id,sent_idx,sent_id,su_sentence,id_sentence,en_sentence,su_tokens,id_tokens,en_tokens,flag_su_id_emb,flag_su_en_emb
1 Korintus:1:10,2,1 Korintus:1:10#2,"Sing raket ngahiji, sahate jeung sapikir.",,,"Sing raket ngahiji , sahate jeung sapikir .",,,,
1 Korintus:1:11,1,1 Korintus:1:11#1,"Sim kuring terang ti sawatara urang kulawarga Kloë yen tetela pisan, aranjeun teh keur pagetreng.","Sebab, saudara-saudaraku, aku telah diberitahukan oleh orang-orang dari keluarga Kloe tentang kamu, bahwa ada perselisihan di antara kamu.","For members of Chloe's household have made it clear to me, my brothers and sisters, that there are quarrels among you.","Sim kuring terang ti sawatara urang kulawarga Kloë yen tetela pisan , aranjeun teh keur pagetreng .","Sebab , saudara - saudaraku , aku telah diberitahukan oleh orang - orang dari keluarga Kloe tentang kamu , bahwa ada perselisihan di antara kamu .","For members of Chloe's household have made it clear to me , my brothers and sisters , that there are quarrels among you .",,
1 Korintus:1:12,1,1 Korintus:1:12#1,"Maksud sim kuring, aranjeun masing-masing beda pamadegan.","Yang aku maksudkan ialah, bahwa kamu masing-masing berkata: Aku dari golongan Paulus.","Now I mean this, that each of you is saying, ""I am with Paul,"" or ""I am with Apollos,"" or ""I am with Cephas,"" or ""I am with Christ.""","Maksud sim kuring , aranjeun masing - masing beda pamadegan .","Yang aku maksudkan ialah , bahwa kamu masing - masing berkata : Aku dari golongan Paulus .","Now I mean this , that each of you is saying , "" I am with Paul , "" or "" I am with Apollos , "" or "" I am with Cephas , "" or "" I am with Christ . """,,
1 Korintus:1:12,2,1 Korintus:1:12#2,"Ceuk nu saurang, ""Kuring biluk ka Paulus""; ceuk nu saurang deui, ""Kuring biluk ka Apolos""; ceuk nu sejen, ""Kuring biluk ka Petrus""; ceuk nu sejen deui, ""Kuring biluk ka Kristus.""",Atau aku dari golongan Apolos.,,"Ceuk nu saurang , "" Kuring biluk ka Paulus "" ; ceuk nu saurang deui , "" Kuring biluk ka Apolos "" ; ceuk nu sejen , "" Kuring biluk ka Petrus "" ; ceuk nu sejen deui , "" Kuring biluk ka Kristus . """,Atau aku dari golongan Apolos .,,,Low
1 Korintus:1:12,3,1 Korintus:1:12#3,,Atau aku dari golongan Kefas.,,,Atau aku dari golongan Kefas .,,,
1 Korintus:1:12,4,1 Korintus:1:12#4,,Atau aku dari golongan Kristus.,,,Atau aku dari golongan Kristus .,,,
1 Korintus:1:13,1,1 Korintus:1:13#1,Kristus nepi ka dibagi-bagi!,Adakah Kristus terbagi-bagi?,Is Christ divided?,Kristus nepi ka dibagi - bagi !,Adakah Kristus terbagi - bagi ?,Is Christ divided ?,Medium,Medium
1 Korintus:1:13,2,1 Korintus:1:13#2,Naha Paulus kitu anu pupus disalib gaganti aranjeun teh?,Adakah Paulus disalibkan karena kamu?,"Paul wasn't crucified for you, was he?",Naha Paulus kitu anu pupus disalib gaganti aranjeun teh ?,Adakah Paulus disalibkan karena kamu ?,"Paul wasn't crucified for you , was he ?",Medium,
1 Korintus:1:13,3,1 Korintus:1:13#3,Aranjeun dibaptis teh naha supaya jadi murid-murid Paulus?,Atau adakah kamu dibaptis dalam nama Paulus?,Or were you in fact baptized in the name of Paul?,Aranjeun dibaptis teh naha supaya jadi murid - murid Paulus ?,Atau adakah kamu dibaptis dalam nama Paulus ?,Or were you in fact baptized in the name of Paul ?,Medium,
1 Korintus:1:14,1,1 Korintus:1:14#1,"Hadena sim kuring teu ngabaptis aranjeun saurang-urang acan, kajaba Krispus jeung Gayus.","Aku mengucap syukur bahwa tidak ada seorangpun juga di antara kamu yang aku baptis selain Krispus dan Gayus,","I thank God that I did not baptize any of you except Crispus and Gaius,","Hadena sim kuring teu ngabaptis aranjeun saurang - urang acan , kajaba Krispus jeung Gayus .","Aku mengucap syukur bahwa tidak ada seorangpun juga di antara kamu yang aku baptis selain Krispus dan Gayus ,","I thank God that I did not baptize any of you except Crispus and Gaius ,",Medium,Medium
1 Korintus:1:15,1,1 Korintus:1:15#1,Anu matak moal aya anu nyebut-nyebut yen aranjeun dibaptis dijadikeun murid sim kuring.,"sehingga tidak ada orang yang dapat mengatakan, bahwa kamu dibaptis dalam namaku.",so that no one can say that you were baptized in my name!,Anu matak moal aya anu nyebut - nyebut yen aranjeun dibaptis dijadikeun murid sim kuring .,"sehingga tidak ada orang yang dapat mengatakan , bahwa kamu dibaptis dalam namaku .",so that no one can say that you were baptized in my name !,Medium,
1 Korintus:1:16,1,1 Korintus:1:16#1,"(Aya keneh ketah anu dibaptis ku sim kuring teh, Stepanus jeung kulawargana.",Juga keluarga Stefanus aku yang membaptisnya.,(I also baptized the household of Stephanus.,"( Aya keneh ketah anu dibaptis ku sim kuring teh , Stepanus jeung kulawargana .",Juga keluarga Stefanus aku yang membaptisnya .,( I also baptized the household of Stephanus .,Low,Medium
1 Korintus:1:16,2,1 Korintus:1:16#2,Tapi salian ti eta mah asana teu aya deui.),"Kecuali mereka aku tidak tahu, entahkah ada lagi orang yang aku baptis.","Otherwise, I do not remember whether I baptized anyone else.)",Tapi salian ti eta mah asana teu aya deui . ),"Kecuali mereka aku tidak tahu , entahkah ada lagi orang yang aku baptis .","Otherwise , I do not remember whether I baptized anyone else . )",,
1 Korintus:1:17,1,1 Korintus:1:17#1,"Kristus ngutus sim kuring teh lain pikeun ngabaptis, tapi pikeun nguarkeun Injil Kasalametan.","Sebab Kristus mengutus aku bukan untuk membaptis, tetapi untuk memberitakan Injil; dan itupun bukan dengan hikmat perkataan, supaya salib Kristus jangan menjadi sia-sia.","For Christ did not send me to baptize, but to preach the gospel - and not with clever speech, so that the cross of Christ would not become useless.","Kristus ngutus sim kuring teh lain pikeun ngabaptis , tapi pikeun nguarkeun Injil Kasalametan .","Sebab Kristus mengutus aku bukan untuk membaptis , tetapi untuk memberitakan Injil ; dan itupun bukan dengan hikmat perkataan , supaya salib Kristus jangan menjadi sia - sia .","For Christ did not send me to baptize , but to preach the gospel - and not with clever speech , so that the cross of Christ would not become useless .",Medium,
1 Korintus:1:17,2,1 Korintus:1:17#2,"Ari nguarkeunana lain ku kapinteran nyarita tina cara manusa, supaya ulah nepi ka matak ngagaplahkeun kakuatan kawasa pupusna Kristus dina salib.",,,"Ari nguarkeunana lain ku kapinteran nyarita tina cara manusa , supaya ulah nepi ka matak ngagaplahkeun kakuatan kawasa pupusna Kristus dina salib .",,,,
1 Korintus:1:18,1,1 Korintus:1:18#1,Sabab ku jelema-jelema hukumeun mah warta hal Kristus pupus disalib teh dianggap omong kosong.,"Sebab pemberitaan tentang salib memang adalah kebodohan bagi mereka yang akan binasa, tetapi bagi kita yang diselamatkan pemberitaan itu adalah kekuatan Allah.","For the message about the cross is foolishness to those who are perishing, but to us who are being saved it is the power of God.",Sabab ku jelema - jelema hukumeun mah warta hal Kristus pupus disalib teh dianggap omong kosong .,"Sebab pemberitaan tentang salib memang adalah kebodohan bagi mereka yang akan binasa , tetapi bagi kita yang diselamatkan pemberitaan itu adalah kekuatan Allah .","For the message about the cross is foolishness to those who are perishing , but to us who are being saved it is the power of God .",,
1 Korintus:1:18,2,1 Korintus:1:18#2,"Sabalikna pikeun urang anu geus disalametkeun ku Allah, hal eta teh taya lian ti kakawasaan Allah.",,,"Sabalikna pikeun urang anu geus disalametkeun ku Allah , hal eta teh taya lian ti kakawasaan Allah .",,,Medium,
1 Korintus:1:19,1,1 Korintus:1:19#1,"Kitab Suci nyebutkeun, ""Kanyaho jalma palinter ku Kami rek dieuweuhkeun, pangarti kaom terpelajar rek dileungitkeun.""","Karena ada tertulis: ""Aku akan membinasakan hikmat orang-orang berhikmat dan kearifan orang-orang bijak akan Kulenyapkan.""","For it is written, ""I will destroy the wisdom of the wise,and I will thwart the cleverness of the intelligent.""","Kitab Suci nyebutkeun , "" Kanyaho jalma palinter ku Kami rek dieuweuhkeun , pangarti kaom terpelajar rek dileungitkeun . ""","Karena ada tertulis : "" Aku akan membinasakan hikmat orang - orang berhikmat dan kearifan orang - orang bijak akan Kulenyapkan . ""","For it is written , "" I will destroy the wisdom of the wise , and I will thwart the cleverness of the intelligent . """,,
1 Korintus:1:20,1,1 Korintus:1:20#1,"Jadi pikeun naon aya nu palinter, aya kaom terpelajar, aya ahli-ahli sawala di ieu dunya?",Di manakah orang yang berhikmat?,Where is the wise man?,"Jadi pikeun naon aya nu palinter , aya kaom terpelajar , aya ahli - ahli sawala di ieu dunya ?",Di manakah orang yang berhikmat ?,Where is the wise man ?,,
1 Korintus:1:20,2,1 Korintus:1:20#2,Ku Allah geus ditetelakeun kapinteran manusa teh taya lian ti omong kosong!,Di manakah ahli Taurat?,Where is the expert in the Mosaic law?,Ku Allah geus ditetelakeun kapinteran manusa teh taya lian ti omong kosong !,Di manakah ahli Taurat ?,Where is the expert in the Mosaic law ?,Medium,
1 Korintus:1:20,3,1 Korintus:1:20#3,,Di manakah pembantah dari dunia ini?,Where is the debater of this age?,,Di manakah pembantah dari dunia ini ?,Where is the debater of this age ?,,
1 Korintus:1:20,4,1 Korintus:1:20#4,,Bukankah Allah telah membuat hikmat dunia ini menjadi kebodohan?,Has God not made the wisdom of the world foolish?,,Bukankah Allah telah membuat hikmat dunia ini menjadi kebodohan ?,Has God not made the wisdom of the world foolish ?,,
1 Korintus:1:21,1,1 Korintus:1:21#1,"Sabab Allah anu bijaksana midamel, sangkan manusa mustahil bisa nyaho ka Mantenna ku kapinteranana sorangan.","Oleh karena dunia, dalam hikmat Allah, tidak mengenal Allah oleh hikmatnya, maka Allah berkenan menyelamatkan mereka yang percaya oleh kebodohan pemberitaan Injil.","For since in the wisdom of God the world by its wisdom did not know God, God was pleased to save those who believe by the foolishness of preaching.","Sabab Allah anu bijaksana midamel , sangkan manusa mustahil bisa nyaho ka Mantenna ku kapinteranana sorangan .","Oleh karena dunia , dalam hikmat Allah , tidak mengenal Allah oleh hikmatnya , maka Allah berkenan menyelamatkan mereka yang percaya oleh kebodohan pemberitaan Injil .","For since in the wisdom of God the world by its wisdom did not know God , God was pleased to save those who believe by the foolishness of preaching .",Medium,Medium
1 Korintus:1:21,2,1 Korintus:1:21#2,"Sabalikna pikeun nyalametkeun umat-Na anu percaya teh ku hiji warta, nya eta anu diwawarkeun ku sim kuring sabatur-batur, anu ku dunya dianggap kabodoan.",,,"Sabalikna pikeun nyalametkeun umat - Na anu percaya teh ku hiji warta , nya eta anu diwawarkeun ku sim kuring sabatur - batur , anu ku dunya dianggap kabodoan .",,,,
1 Korintus:1:22,1,1 Korintus:1:22#1,"Pikeun ngayakinkeun hal eta, urang Yahudi marenta tanda mujijat, urang Yunani ngarulik pangarti.","Orang-orang Yahudi menghendaki tanda dan orang-orang Yunani mencari hikmat,","For Jews demand miraculous signs and Greeks ask for wisdom,","Pikeun ngayakinkeun hal eta , urang Yahudi marenta tanda mujijat , urang Yunani ngarulik pangarti .","Orang - orang Yahudi menghendaki tanda dan orang - orang Yunani mencari hikmat ,","For Jews demand miraculous signs and Greeks ask for wisdom ,",Medium,Medium
1 Korintus:1:23,1,1 Korintus:1:23#1,Ari ku sim kuring sabatur-batur ngan disodoran wawaran hal Kristus disalib.,"tetapi kami memberitakan Kristus yang disalibkan: untuk orang-orang Yahudi suatu batu sandungan dan untuk orang-orang bukan Yahudi suatu kebodohan,","but we preach about a crucified Christ, a stumbling block to Jews and foolishness to Gentiles.",Ari ku sim kuring sabatur - batur ngan disodoran wawaran hal Kristus disalib .,"tetapi kami memberitakan Kristus yang disalibkan : untuk orang - orang Yahudi suatu batu sandungan dan untuk orang - orang bukan Yahudi suatu kebodohan ,","but we preach about a crucified Christ , a stumbling block to Jews and foolishness to Gentiles .",,
1 Korintus:1:23,2,1 Korintus:1:23#2,"Puguh bae urang Yahudi asa dihina, bangsa lianna ngabodo-bodo.",,,"Puguh bae urang Yahudi asa dihina , bangsa lianna ngabodo - bodo .",,,,
1 Korintus:1:24,1,1 Korintus:1:24#1,"Tapi pikeun anu geus disalaur ku Allah - boh urang Yahudi, boh nu lain Yahudi - eta warta hal Kristus teh bukti tina kakawasaan jeung kabijaksanaan Allah.","tetapi untuk mereka yang dipanggil, baik orang Yahudi, maupun orang bukan Yahudi, Kristus adalah kekuatan Allah dan hikmat Allah.","But to those who are called, both Jews and Greeks, Christ is the power of God and the wisdom of God.","Tapi pikeun anu geus disalaur ku Allah - boh urang Yahudi , boh nu lain Yahudi - eta warta hal Kristus teh bukti tina kakawasaan jeung kabijaksanaan Allah .","tetapi untuk mereka yang dipanggil , baik orang Yahudi , maupun orang bukan Yahudi , Kristus adalah kekuatan Allah dan hikmat Allah .","But to those who are called , both Jews and Greeks , Christ is the power of God and the wisdom of God .",Medium,Medium
1 Korintus:1:25,1,1 Korintus:1:25#1,"Sabab anu ku manusa dianggap kabodoan Allah, masih leuwih luhung ti batan kapinteran manusa; anu ku manusa dianggap kalemahan Allah, masih leuwih bedas ti batan kakuatan manusa.",Sebab yang bodoh dari Allah lebih besar hikmatnya dari pada manusia dan yang lemah dari Allah lebih kuat dari pada manusia.,"For the foolishness of God is wiser than human wisdom, and the weakness of God is stronger than human strength.","Sabab anu ku manusa dianggap kabodoan Allah , masih leuwih luhung ti batan kapinteran manusa ; anu ku manusa dianggap kalemahan Allah , masih leuwih bedas ti batan kakuatan manusa .",Sebab yang bodoh dari Allah lebih besar hikmatnya dari pada manusia dan yang lemah dari Allah lebih kuat dari pada manusia .,"For the foolishness of God is wiser than human wisdom , and the weakness of God is stronger than human strength .",Low,Medium
1 Korintus:1:26,1,1 Korintus:1:26#1,"Inget dulur-dulur, kumaha kaayaan aranjeun waktu mimiti disalaur.","Ingat saja, saudara-saudara, bagaimana keadaan kamu, ketika kamu dipanggil: menurut ukuran manusia tidak banyak orang yang bijak, tidak banyak orang yang berpengaruh, tidak banyak orang yang terpandang.","Think about the circumstances of your call, brothers and sisters.","Inget dulur - dulur , kumaha kaayaan aranjeun waktu mimiti disalaur .","Ingat saja , saudara - saudara , bagaimana keadaan kamu , ketika kamu dipanggil : menurut ukuran manusia tidak banyak orang yang bijak , tidak banyak orang yang berpengaruh , tidak banyak orang yang terpandang .","Think about the circumstances of your call , brothers and sisters .",,
1 Korintus:1:26,2,1 Korintus:1:26#2,"Anu ceuk manusa pinter, atawa kawasa, atawa luhur harkat teh ngan saeutik bae.",,"Not many were wise by human standards, not many were powerful, not many were born to a privileged position.","Anu ceuk manusa pinter , atawa kawasa , atawa luhur harkat teh ngan saeutik bae .",,"Not many were wise by human standards , not many were powerful , not many were born to a privileged position .",,
1 Korintus:1:27,1,1 Korintus:1:27#1,"Ngahaja Allah milih anu ku dunya dianggap bodo, pikeun ngera-ngera anu palinter.","Tetapi apa yang bodoh bagi dunia, dipilih Allah untuk memalukan orang-orang yang berhikmat, dan apa yang lemah bagi dunia, dipilih Allah untuk memalukan apa yang kuat,","But God chose what the world thinks foolish to shame the wise, and God chose what the world thinks weak to shame the strong.","Ngahaja Allah milih anu ku dunya dianggap bodo , pikeun ngera - ngera anu palinter .","Tetapi apa yang bodoh bagi dunia , dipilih Allah untuk memalukan orang - orang yang berhikmat , dan apa yang lemah bagi dunia , dipilih Allah untuk memalukan apa yang kuat ,","But God chose what the world thinks foolish to shame the wise , and God chose what the world thinks weak to shame the strong .",,Medium
1 Korintus:1:27,2,1 Korintus:1:27#2,"Ngahaja milih anu ku dunya dianggap lemah, pikeun ngera-ngera anu garagah perkasa.",,,"Ngahaja milih anu ku dunya dianggap lemah , pikeun ngera - ngera anu garagah perkasa .",,,,
1 Korintus:1:28,1,1 Korintus:1:28#1,"Ngahaja Allah milih anu ku dunya dianggap hina, kuricakan, taya harga, pikeun ngaruntagkeun anu ku dunya diajen-ajen.","dan apa yang tidak terpandang dan yang hina bagi dunia, dipilih Allah, bahkan apa yang tidak berarti, dipilih Allah untuk meniadakan apa yang berarti,","God chose what is low and despised in the world, what is regarded as nothing, to set aside what is regarded as something,","Ngahaja Allah milih anu ku dunya dianggap hina , kuricakan , taya harga , pikeun ngaruntagkeun anu ku dunya diajen - ajen .","dan apa yang tidak terpandang dan yang hina bagi dunia , dipilih Allah , bahkan apa yang tidak berarti , dipilih Allah untuk meniadakan apa yang berarti ,","God chose what is low and despised in the world , what is regarded as nothing , to set aside what is regarded as something ,",Medium,Medium
1 Korintus:1:29,1,1 Korintus:1:29#1,Anu matak moal aya manusa anu bisa adigung di payuneun Allah.,supaya jangan ada seorang manusiapun yang memegahkan diri di hadapan Allah.,so that no one can boast in his presence.,Anu matak moal aya manusa anu bisa adigung di payuneun Allah .,supaya jangan ada seorang manusiapun yang memegahkan diri di hadapan Allah .,so that no one can boast in his presence .,High,
1 Korintus:1:30,1,1 Korintus:1:30#1,"Aranjeun oge pang bisa ngahiji jeung Kristus Yesus teh ku sih kurnia Allah, ari Kristus ku Mantenna dijadikeun kabijaksanaan urang, tegesna kabijaksanaan urang teh asalna ti Kristus.","Tetapi oleh Dia kamu berada dalam Kristus Yesus, yang oleh Allah telah menjadi hikmat bagi kita.","He is the reason you have a relationship with Christ Jesus, who became for us wisdom from God, and righteousness and sanctification and redemption,","Aranjeun oge pang bisa ngahiji jeung Kristus Yesus teh ku sih kurnia Allah , ari Kristus ku Mantenna dijadikeun kabijaksanaan urang , tegesna kabijaksanaan urang teh asalna ti Kristus .","Tetapi oleh Dia kamu berada dalam Kristus Yesus , yang oleh Allah telah menjadi hikmat bagi kita .","He is the reason you have a relationship with Christ Jesus , who became for us wisdom from God , and righteousness and sanctification and redemption ,",Medium,
1 Korintus:1:30,2,1 Korintus:1:30#2,"Nya ku Anjeunna pang urang bisa diangken bener ku Allah teh, pang urang jadi umat suci Allah, pang urang bisa bebas.",Ia membenarkan dan menguduskan dan menebus kita.,,"Nya ku Anjeunna pang urang bisa diangken bener ku Allah teh , pang urang jadi umat suci Allah , pang urang bisa bebas .",Ia membenarkan dan menguduskan dan menebus kita .,,,
1 Korintus:1:31,1,1 Korintus:1:31#1,"Ku sabab eta, ""Lamun urang arek agul, kudu agul teh ngan ku anu geus dipidamel ku Gusti pikeun urang."" Kitu ceuk Kitab Suci.","Karena itu seperti ada tertulis: ""Barangsiapa yang bermegah, hendaklah ia bermegah di dalam Tuhan.""","so that, as it is written, ""Let the one who boasts,boast in the Lord.""","Ku sabab eta , "" Lamun urang arek agul , kudu agul teh ngan ku anu geus dipidamel ku Gusti pikeun urang . "" Kitu ceuk Kitab Suci .","Karena itu seperti ada tertulis : "" Barangsiapa yang bermegah , hendaklah ia bermegah di dalam Tuhan . ""","so that , as it is written , "" Let the one who boasts , boast in the Lord . """,Medium,
1 Korintus:1:32,1,1 Korintus:1:32#1,Kahayang sim kuring aranjeun ulah aya karidu naon-naon.,"Aku ingin, supaya kamu hidup tanpa kekuatiran.",And I want you to be free from concern.,Kahayang sim kuring aranjeun ulah aya karidu naon - naon .,"Aku ingin , supaya kamu hidup tanpa kekuatiran .",And I want you to be free from concern .,,
1 Korintus:1:32,2,1 Korintus:1:32#2,"Lalaki anu teu kawin tangtu bisa museurkeun pikiran kana hal-hal anu tumali jeung Gusti, pikeun nyenangkeun manah-Na.","Orang yang tidak beristeri memusatkan perhatiannya pada perkara Tuhan, bagaimana Tuhan berkenan kepadanya.","An unmarried man is concerned about the things of the Lord, how to please the Lord.","Lalaki anu teu kawin tangtu bisa museurkeun pikiran kana hal - hal anu tumali jeung Gusti , pikeun nyenangkeun manah - Na .","Orang yang tidak beristeri memusatkan perhatiannya pada perkara Tuhan , bagaimana Tuhan berkenan kepadanya .","An unmarried man is concerned about the things of the Lord , how to please the Lord .",Medium,Medium
1 Korintus:1:33,1,1 Korintus:1:33#1,"Ari geus rumah tangga mah tangtu teu kaur kitu balas ngurus rumah tangga, malar pamajikanana senangeun hatena;","Orang yang beristeri memusatkan perhatiannya pada perkara duniawi, bagaimana ia dapat menyenangkan isterinya,","But a married man is concerned about the things of the world, how to please his wife,","Ari geus rumah tangga mah tangtu teu kaur kitu balas ngurus rumah tangga , malar pamajikanana senangeun hatena ;","Orang yang beristeri memusatkan perhatiannya pada perkara duniawi , bagaimana ia dapat menyenangkan isterinya ,","But a married man is concerned about the things of the world , how to please his wife ,",,
1 Korintus:1:34,1,1 Korintus:1:34#1,pikiranana jadi ngarancabang.,dan dengan demikian perhatiannya terbagi-bagi.,and he is divided.,pikiranana jadi ngarancabang .,dan dengan demikian perhatiannya terbagi - bagi .,and he is divided .,,
