book,chapter,verse,en_text,id_text,su_text
1 Korintus,1,34,"and he is divided. An unmarried woman or a virgin is concerned about the things of the Lord, to be holy both in body and spirit. But a married woman is concerned about the things of the world, how to please her husband.","dan dengan demikian perhatiannya terbagi-bagi. Perempuan yang tidak bersuami dan anak-anak gadis memusatkan perhatian mereka pada perkara Tuhan, supaya tubuh dan jiwa mereka kudus. Tetapi perempuan yang bersuami memusatkan perhatiannya pada perkara duniawi, bagaimana ia dapat menyenangkan suaminya.","pikiranana jadi ngarancabang. Awewe anu teu kawin atawa parawan, bisa laluasa ngawulakeun diri ka Gusti, ngabaktikeun jiwa ragana. Ari boga salaki mah tangtu moal kaur kitu, repot ku urusan rumah tanggana, malar kapake ku salakina."
1 Korintus,1,35,"I am saying this for your benefit, not to place a limitation on you, but so that without distraction you may give notable and constant service to the Lord.","Semuanya ini kukatakan untuk kepentingan kamu sendiri, bukan untuk menghalang-halangi kamu dalam kebebasan kamu, tetapi sebaliknya supaya kamu melakukan apa yang benar dan baik, dan melayani Tuhan tanpa gangguan.","Nganasehatan soteh hayang ngentengkeun. Lain ngalarang kitu ngalarang kieu, hayang memener hirup aranjeun, supaya aranjeun bisa museurkeun pikiran ka Gusti."
1 Korintus,1,36,"If anyone thinks he is acting inappropriately toward his virgin, if she is past the bloom of youth and it seems necessary, he should do what he wishes; he does not sin. Let them marry.","Tetapi jikalau seorang menyangka, bahwa ia tidak berlaku wajar terhadap gadisnya, jika gadisnya itu telah bertambah tua dan ia benar-benar merasa, bahwa mereka harus kawin, baiklah mereka kawin, kalau ia menghendakinya. Hal itu bukan dosa.","Lamun aya lalaki anu mutuskeun moal tulus kawin padahal eukeur tunangan, kieu: Lamun eta lalaki ngarasa putusanana kitu teh ngaraheutan hate kakasihna, tur manehna ge geus teu kuat hayang kawin, ngarasa wajib ngawin kakasihna, kawin bae. Eta lain dosa."
1 Korintus,1,37,"But the man who is firm in his commitment, and is under no necessity but has control over his will, and has decided in his own mind to keep his own virgin, does well.","Tetapi kalau ada seorang, yang tidak dipaksa untuk berbuat demikian, benar-benar yakin dalam hatinya dan benar-benar menguasai kemauannya, telah mengambil keputusan untuk tidak kawin dengan gadisnya, ia berbuat baik.","Tapi lamun putusan hatena moal kawin teh lain putusan kapaksa sarta bener henteu kawin, memang kitu hadena, asal kuat."
1 Korintus,1,38,"So then, the one who marries his own virgin does well, but the one who does not, does better.","Jadi orang yang kawin dengan gadisnya berbuat baik, dan orang yang tidak kawin dengan gadisnya berbuat lebih baik.","Cindekna, lalaki anu kawin teh alus, tapi anu henteu kawin leuwih alus."
1 Korintus,1,39,"A wife is bound as long as her husband is living. But if her husband dies, she is free to marry anyone she wishes (only someone in the Lord).","Isteri terikat selama suaminya hidup. Kalau suaminya telah meninggal, ia bebas untuk kawin dengan siapa saja yang dikehendakinya, asal orang itu adalah seorang yang percaya.","Awewe anu kawin katalian ku salakina sapanjang salakina hirup keneh. Meunang engke kawin deui ka lalaki kasukana, lamun salakina geus maot, tapi kudu ka urang Kristen keneh."
1 Korintus,1,40,"But in my opinion, she will be happier if she remains as she is – and I think that I too have the Spirit of God!","Tetapi menurut pendapatku, ia lebih berbahagia, kalau ia tetap tinggal dalam keadaannya. Dan aku berpendapat, bahwa aku juga mempunyai Roh Allah.","Tapi bakal leuwih bagja lamun manehna tetep lelengohan. Kitu pangrasa sim kuring, anu ceuk rarasaan mah meunang ngalelempeng Roh Allah."
1 Korintus,1,41,"There is one glory of the sun, and another glory of the moon and another glory of the stars, for star differs from star in glory.","Kemuliaan matahari lain dari pada kemuliaan bulan, dan kemuliaan bulan lain dari pada kemuliaan bintang-bintang, dan kemuliaan bintang yang satu berbeda dengan kemuliaan bintang yang lain.","Kaendahan panonpoe beda jeung kaendahan bulan. Bentang-bentang boga kaendahan sorangan, antara bentang jeung bentang deui oge kaendahanana henteu sarua."
1 Korintus,1,42,"It is the same with the resurrection of the dead. What is sown is perishable, what is raised is imperishable.","Demikianlah pula halnya dengan kebangkitan orang mati. Ditaburkan dalam kebinasaan, dibangkitkan dalam ketidakbinasaan.","Kitu oge halna badan jelema anu geus maraot lamun geus dihirupkeun deui. Badan anu dikubur teh sipatna henteu langgeng, ari badan anu geus dihirupkeun deui sipatna abadi."
1 Korintus,1,43,"It is sown in dishonor, it is raised in glory; it is sown in weakness, it is raised in power;","Ditaburkan dalam kehinaan, dibangkitkan dalam kemuliaan. Ditaburkan dalam kelemahan, dibangkitkan dalam kekuatan.","Keur dikuburna badan teh nya goreng rupana nya taya dayana, ari geus dihirupkeun deui mah nya endah nya gagah."
1 Korintus,1,44,"it is sown a natural body, it is raised a spiritual body. If there is a natural body, there is also a spiritual body.","Yang ditaburkan adalah tubuh alamiah, yang dibangkitkan adalah tubuh rohaniah. Jika ada tubuh alamiah, maka ada pula tubuh rohaniah.","Waktu dikuburna badan teh sipatna jasmani, alami, ari geus dihirupkeun deui mah sipatna rohani. Jadi ku sabab aya badan anu sipatna jasmani, tangtu aya badan anu sipatna rohani."
1 Korintus,1,45,"So also it is written, “The first man,Adam,became a living person”; the last Adam became a life-giving spirit.","Seperti ada tertulis: ""Manusia pertama, Adam menjadi makhluk yang hidup"", tetapi Adam yang akhir menjadi roh yang menghidupkan.","Sabab dina Kitab Suci ditulis, ""Manusa anu kahiji, nya eta Adam, jadi mahluk hirup,"" tapi Adam anu ahir mah nya eta Roh anu ngahirupkeun."
1 Korintus,1,46,"However, the spiritual did not come first, but the natural, and then the spiritual.","Tetapi yang mula-mula datang bukanlah yang rohaniah, tetapi yang alamiah; kemudian barulah datang yang rohaniah.","Anu datang ti heula teh anu sipatna jasmani, lain rohani. Anu sipatna rohani mah datangna pandeuri."
1 Korintus,1,47,"The first man is from the earth, made of dust; the second man is from heaven.","Manusia pertama berasal dari debu tanah dan bersifat jasmani, manusia kedua berasal dari sorga.","Adam kahiji dijadikeunana tina taneuh, asal ti ieu bumi. Ari Adam kadua mah asal ti sawarga."
1 Korintus,1,48,"Like the one made of dust, so too are those made of dust, and like the one from heaven, so too those who are heavenly.",Makhluk-makhluk alamiah sama dengan dia yang berasal dari debu tanah dan makhluk-makhluk sorgawi sama dengan Dia yang berasal dari sorga.,"Sakur nu asal ti bumi, kabeh sarua jeung Adam kahiji anu dijadikeun tina taneuh. Sakur anu asal ti sawarga sarua jeung Anjeunna anu asal ti sawarga."
1 Korintus,1,49,"And just as we have borne the image of the man of dust, let us also bear the image of the man of heaven.","Sama seperti kita telah memakai rupa dari yang alamiah, demikian pula kita akan memakai rupa dari yang sorgawi.","Sakumaha urang ayeuna make badan anu kaayaanana kawas manusa anu dijadikeun tina taneuh, engke urang bakal make badan anu kaayaanana kawas Manusa anu asal ti sawarga."
1 Korintus,1,50,"Now this is what I am saying, brothers and sisters: Flesh and blood cannot inherit the kingdom of God, nor does the perishable inherit the imperishable.","Saudara-saudara, inilah yang hendak kukatakan kepadamu, yaitu bahwa daging dan darah tidak mendapat bagian dalam Kerajaan Allah dan bahwa yang binasa tidak mendapat bagian dalam apa yang tidak binasa.","Maksud sim kuring kieu dulur-dulur: Sipat daging jeung getih moal bisa dibawa ka Karajaan Allah, anu sipatna teu langgeng moal bisa dibawa ka anu sipatna langgeng."
1 Korintus,1,51,"Listen, I will tell you a mystery: We will not all sleep, but we will all be changed –","Sesungguhnya aku menyatakan kepadamu suatu rahasia: kita tidak akan mati semuanya, tetapi kita semuanya akan diubah,","Sim kuring rek ngabejakeun ieu rasiah: Urang teh moal waka maot kabeh, tapi urang kabeh bakal dirobah."
1 Korintus,1,52,"in a moment, in the blinking of an eye, at the last trumpet. For the trumpet will sound, and the dead will be raised imperishable, and we will be changed.","dalam sekejap mata, pada waktu bunyi nafiri yang terakhir. Sebab nafiri akan berbunyi dan orang-orang mati akan dibangkitkan dalam keadaan yang tidak dapat binasa dan kita semua akan diubah.","Kajadianana ngadadak di jero sakiceup mata waktu sangkakala ditiup panganggeusan. Waktu eta sangkakala ditiup, anu geus maraot bakal dihirupkeun deui, moal keuna deui ku maot, sarta kabeh kaayaanana dirobah."
1 Korintus,1,53,"For this perishable body must put on the imperishable, and this mortal body must put on immortality.","Karena yang dapat binasa ini harus mengenakan yang tidak dapat binasa, dan yang dapat mati ini harus mengenakan yang tidak dapat mati.","Anu sipatna teu langgeng diganti ku anu sipatna langgeng, anu tadina keuna ku maot dirobah ku anu sipatna teu keuna ku maot."
1 Korintus,1,54,"Now when this perishable puts on the imperishable, and this mortal puts on immortality, then the saying that is written will happen,“Death has been swallowed up in victory.”","Dan sesudah yang dapat binasa ini mengenakan yang tidak dapat binasa dan yang dapat mati ini mengenakan yang tidak dapat mati, maka akan genaplah firman Tuhan yang tertulis: ""Maut telah ditelan dalam kemenangan.","Sanggeus hal eta kajadian, sanggeus anu sipatna teu langgeng dirobah jadi langgeng, bakal bukti anu ditulis dina Kitab Suci, ""Maot geus dibasmi. Kaunggulan geus beunang!"""
1 Korintus,1,55,"“Where,O death,is your victory?Where,O death,is your sting?”","Hai maut di manakah kemenanganmu? Hai maut, di manakah sengatmu?""","""He maot, mana kakawasaan maneh? Mana peurah panyeureud maneh?"""
1 Korintus,1,56,"The sting of death is sin, and the power of sin is the law.",Sengat maut ialah dosa dan kuasa dosa ialah hukum Taurat.,"Peurah maot asalna tina dosa, ari kakawasaan dosa asalna tina Hukum Agama."
1 Korintus,1,57,"But thanks be to God, who gives us the victory through our Lord Jesus Christ!","Tetapi syukur kepada Allah, yang telah memberikan kepada kita kemenangan oleh Yesus Kristus, Tuhan kita.",Tapi puji sukur ka Allah! Mantenna geus maparin kaunggulan ka urang ku jalan Gusti urang Yesus Kristus.
1 Korintus,1,58,"So then, dear brothers and sisters, be firm. Do not be moved! Always be outstanding in the work of the Lord, knowing that your labor is not in vain in the Lord.","Karena itu, saudara-saudaraku yang kekasih, berdirilah teguh, jangan goyah, dan giatlah selalu dalam pekerjaan Tuhan! Sebab kamu tahu, bahwa dalam persekutuan dengan Tuhan jerih payahmu tidak sia-sia.","Ku sabab kitu dulur-dulur kudu teger jeung pengkuh, kudu garetol, rajin ngalakonan kawajiban pikeun Gusti. Sabab aranjeun nyaho yen sakur lampah aranjeun pikeun Gusti moal aya anu mubadir."
1 Petrus,1,1,Petrus 1,Petrus 1,Petrus 1
1 Petrus,1,2,according to the foreknowledge of God the Father by being set apart by the Spirit for obedience and for sprinkling with Jesus Christ’s blood. May grace and peace be yours in full measure!,"yaitu orang-orang yang dipilih, sesuai dengan rencana Allah, Bapa kita, dan yang dikuduskan oleh Roh, supaya taat kepada Yesus Kristus dan menerima percikan darah-Nya. Kiranya kasih karunia dan damai sejahtera makin melimpah atas kamu.","mugia aranjeun ginanjar rahmat rahayu ti Allah. Geus jadi pangersa Allah Rama aranjeun ku Mantenna dipilih dijadikeun umat-Na anu geus disucikeun ku Roh Mantenna sangkan aranut ka Yesus Kristus, supaya bebas tina dosa ku jalan disucikeun ku getih Anjeunna."
1 Petrus,1,3,"Blessed be the God and Father of our Lord Jesus Christ! By his great mercy he gave us new birth into a living hope through the resurrection of Jesus Christ from the dead,","Terpujilah Allah dan Bapa Tuhan kita Yesus Kristus, yang karena rahmat-Nya yang besar telah melahirkan kita kembali oleh kebangkitan Yesus Kristus dari antara orang mati, kepada suatu hidup yang penuh pengharapan,","Puji jeung sukur kasanggakeun ka Allah, Ramana Gusti urang Yesus Kristus! Allah teh ku bawaning mikawelas geus midamel urang jadi manusa anu anyar dina hirup anu anyar, anu geus boga hiji pangharepan anu moal pareum-pareum, ku jalan Mantenna ngahirupkeun deui Yesus Kristus tina pupus-Na."
1 Petrus,1,4,"that is, into an inheritance imperishable, undefiled, and unfading. It is reserved in heaven for you,","untuk menerima suatu bagian yang tidak dapat binasa, yang tidak dapat cemar dan yang tidak dapat layu, yang tersimpan di sorga bagi kamu.","Nya ku sabab kitu urang teh meunang ngarep-ngarep kana saniskara berkah anu geus disayagikeun ku Allah pikeun umat-Na anu disimpenna di sawarga, anu moal keuna ku ruksak, moal bobo, moal ngurangan pangajina."
1 Petrus,1,5,who by God’s power are protected through faith for a salvation ready to be revealed in the last time.,"Yaitu kamu, yang dipelihara dalam kekuatan Allah karena imanmu sementara kamu menantikan keselamatan yang telah tersedia untuk dinyatakan pada zaman akhir.","Eta saniskara berkah teh pikeun aranjeun anu geus aya dina pangraksana kakawasaan Allah sangkan salamet, lantaran percaya ka Allah. Eta tangtu engke katampa ku aranjeun dina ahir jaman."
1 Petrus,1,6,"This brings you great joy, although you may have to suffer for a short time in various trials.","Bergembiralah akan hal itu, sekalipun sekarang ini kamu seketika harus berdukacita oleh berbagai-bagai pencobaan.","Aranjeun kudu bungah ku hal ieu, sanajan ayeuna keur susah jeung prihatin ku rupa-rupa cocoba."
1 Petrus,1,7,"Such trials show the proven character of your faith, which is much more valuable than gold – gold that is tested by fire, even though it is passing away – and will bring praise and glory and honor when Jesus Christ is revealed.","Maksud semuanya itu ialah untuk membuktikan kemurnian imanmu--yang jauh lebih tinggi nilainya dari pada emas yang fana, yang diuji kemurniannya dengan api--sehingga kamu memperoleh puji-pujian dan kemuliaan dan kehormatan pada hari Yesus Kristus menyatakan diri-Nya.","Maksudna nya eta pikeun nguji kamurnian iman aranjeun ka Pangeran. Geuning emas oge anu beunang diruksak sok diuji. Komo deui iman aranjeun anu pangajina leuwih ti emas, kudu diuji supaya murni. Ku jalan kitu lamun aranjeun kuat nandangan eta cocoba, engke dina Poe sumpingna Yesus Kristus aranjeun bakal dipuji, dihormat, dimulyakeun."
1 Petrus,1,8,"You have not seen him, but you love him. You do not see him now but you believe in him, and so you rejoice with an indescribable and glorious joy,","Sekalipun kamu belum pernah melihat Dia, namun kamu mengasihi-Nya. Kamu percaya kepada Dia, sekalipun kamu sekarang tidak melihat-Nya. Kamu bergembira karena sukacita yang mulia dan yang tidak terkatakan,","Aranjeun nyaraah ka Yesus Kristus, padahal can nenjo-nenjo acan, aranjeun percaya ka Anjeunna sanajan ayeuna Anjeunna geus teu katenjo. Ku sabab kitu aranjeun bakal meunang kabungah anu taya caturkeunana,"
1 Petrus,1,9,because you are attaining the goal of your faith – the salvation of your souls.,"karena kamu telah mencapai tujuan imanmu, yaitu keselamatan jiwamu.","lantaran buahna eta kapercayaan aranjeun teh jadi kanyataan, nya eta kasalametan nyawa aranjeun."
1 Petrus,1,10,"Concerning this salvation, the prophets who predicted the grace that would come to you searched and investigated carefully.","Keselamatan itulah yang diselidiki dan diteliti oleh nabi-nabi, yang telah bernubuat tentang kasih karunia yang diuntukkan bagimu.","Para nabi anu ngawejangkeun ieu kasalametan pikeun aranjeun, baheula enggeus nalungtik jeung nitik-nitik."
